EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
2,2,2,2,76,3,3,3,2,2,3,2,2,3,1,2,15,1,0,1,2
2,5,2,2,47,3,3,3,2,2,3,2,2,3,2,1,120,3,10,2,2
2,5,2,2,23,3,3,3,2,2,3,2,2,3,2,1,150,6,0,1,2
4,5,2,2,57,3,2,2,3,4,4,3,2,3,2,1,100,3,8,0,1
2,5,2,2,66,3,3,3,2,2,3,2,2,3,0,1,120,3,2,2,2
2,5,2,2,71,3,3,3,2,2,3,2,2,3,0,1,104,4,2,1,2
2,5,2,2,39,3,3,3,2,2,3,2,2,3,1,1,130,4,4,2,2
2,4,2,2,27,3,3,3,2,2,3,2,2,3,1,2,100,12,0,2,2
2,5,2,2,84,3,3,3,2,2,3,2,2,3,0,1,96,4,6,2,2
2,4,2,2,22,3,3,3,2,2,3,2,2,3,9,2,130,6,1000,0,2
2,2,2,2,57,3,3,3,2,2,3,2,2,3,4,2,120,1,0,-3,2
1,4,2,1,45,2,2,2,2,4,1,2,2,3,1,1,100,4,3,1,1
2,5,2,2,82,3,3,3,2,2,3,2,2,3,-5,1,100,3,0,5,2
2,4,2,2,39,3,3,3,2,2,3,2,2,3,1,1,120,4,7,2,2
2,5,2,2,53,3,3,3,2,2,3,2,2,3,2,1,150,4,0,2,2
2,5,2,2,36,3,3,3,2,2,3,2,2,3,2,2,160,10,8,3,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,0,2,120,1,1,0,2
2,5,2,2,38,2,3,3,2,2,5,1,2,3,1,2,85,7,1000,2,1
2,3,2,2,62,3,3,3,2,2,3,2,2,3,0,2,126,1,1000,1,2
2,5,2,2,60,3,3,3,2,2,3,2,2,3,1,1,200,6,12,2,2
2,2,2,2,66,3,3,3,2,2,3,2,2,3,0,2,120,4,1,0,2
2,3,2,2,85,3,3,3,2,2,3,2,2,3,0,1,119,2,0,0,2
3,3,2,1,66,2,3,4,1,2,4,6,3,2,0,1,119,3,0,0,3
2,5,2,2,23,3,3,3,2,2,3,2,2,3,2,2,100,12,1000,0,2
2,4,2,2,49,3,3,3,2,2,3,2,2,3,0,2,70,4,8,0,2
2,3,2,2,58,3,3,3,2,2,3,2,2,3,1,1,120,4,1000,1,2
2,4,2,2,67,3,3,3,2,2,3,2,2,3,-2,1,80,6,3,-2,2
2,3,2,2,23,3,3,3,2,2,3,2,2,3,3,1,119,6,0,1,2
1,4,1,3,69,1,1,4,1,1,2,1,4,4,0,2,144,4,0,1,1
